단어,발음,주요뜻,메모,암기여부,저장날짜
altruist,ǽltruist,애타주의자,,미암기,2012-12-11 03:19:11
amalgamate,əmǽlgəmèit,혼합시키다|합동하다|융합하다,,미암기,2012-12-11 03:19:11
amateurish,ӕməʧúəriʃ,아마추어 같은|미숙한|직업적이 아닌,,미암기,2012-12-11 03:19:11
ambiguity,ӕmbigjúːəti,애매모호함|모호함|불명확함,,미암기,2012-12-11 03:19:11
ambiguous,æmbígjuəs,애매한|모호한|불분명한|중의적인|아리송한,,미암기,2012-12-11 03:19:11
ambivalent,æmbívələnt,상반하는 감정을 품은|상반된 감정이 공존하는|불확실한,,미암기,2012-12-11 03:19:11
amble,ǽmbl,측대보|측대보로 걷다|느릿느릿 걷다,,미암기,2012-12-11 03:19:11
ambrosial,æmbróuʒəl,아주 맛이 있는|향기로운|신들에게 알맞은,,미암기,2012-12-11 03:19:11
ameliorate,əmíːljərèit,개선하다|개량하다|좋아지다,,미암기,2012-12-11 03:19:11
amenable,əmíːnəbl,순종하는|복종할 의무가 있는|제재를 받는,,미암기,2012-12-11 03:19:11
amend,əménd,개정하다|수정하다|보상,,미암기,2012-12-11 03:19:11
amenity,"əménəti, əmíːn-",위락 시설|쾌적함|편의시설,,미암기,2012-12-11 03:19:11
amicable,ǽmikəbl,우호적인|평화적인|타협적인,,미암기,2012-12-11 03:19:11
amorphous,əmɔ́ːrfəs,무정형의|비결정질의|조직이 없는,,미암기,2012-12-11 03:19:11
amphibian,æmfíbiən,양서류의|수륙 양용 비행기|수륙 양용차,,미암기,2012-12-11 03:19:11
amplitude,ǽmplitjùːd,넓이|진폭|크기,,미암기,2012-12-11 03:19:11
amuse,əmjúːz,재미있게 하다|즐겁게 하다|관심을 두다|놀라게 하다,,미암기,2012-12-11 03:19:11
anachronism,ənǽkrənìzm,시대 착오|시대에 뒤진 것|시대 착오적인 것,,미암기,2012-12-11 03:19:11
analgesia,ӕnəldʒíːziə,무통각|미마취|통각 상실,,미암기,2012-12-11 03:19:11
anarchist,ǽnərkist,무정부주의자|폭력 혁명가|반역자,,미암기,2012-12-11 03:19:11
anchor,ǽŋkər,앵커|정박하다|부착하다|지주|뉴스캐스터,,미암기,2012-12-11 03:19:11
ancillary,ǽnsəlèri,보조적인|부수적인|보조의,,미암기,2012-12-11 03:19:11
anecdote,ǽnikdòut,일화,,미암기,2012-12-11 03:19:11
anesthetic,ӕnəsθétik,마취의|마취제|마취약,,미암기,2012-12-11 03:19:11
animate,ǽnəmèit,애니메이션|움직이는|만화영화|생기,,미암기,2012-12-11 03:19:11
anodyne,ǽnədàin,진통제|진통의|진통 작용을 하는,,미암기,2012-12-11 03:19:11
anomalous,ənάmələs,변칙의|변칙적인|이례의,,미암기,2012-12-11 03:19:11
anomaly,ənάməli,이상|기형|비정상|특이|변칙,,미암기,2012-12-11 03:19:11
anonymous,ənάnəməs,익명의|이름을 밝히지 않은|어나니머스|무명|미상의,,미암기,2012-12-11 03:19:11
antagonize,æntǽgənàiz,대항하다|적대하다|반대하다,,미암기,2012-12-11 03:19:11
anterior,æntíəriər,앞쪽에 있는|선행한|보다 이전의,,미암기,2012-12-11 03:19:11
anthology,ænθάlədʒi,명시 선집|선집|명문집,,미암기,2012-12-11 03:19:11
antic,ǽntik,익살스러운|익살|장난,,미암기,2012-12-11 03:19:11
antidote,ǽntidòut,해독제|교정 수단|치료법,,미암기,2012-12-11 03:19:10
antipathy,æntípəθi,반감|혐오|비위에 안 맞음,,미암기,2012-12-11 03:19:10
apathetic,"ӕpəθétik, -ikəl",무관심한|냉담한|무감정의,,미암기,2012-12-11 03:19:10
apex,éipeks,정점,,미암기,2012-12-11 03:19:10
aphorism,ǽfərìzm,격언|금언|경구,,미암기,2012-12-11 03:19:10
apocalypse,əpάkəlips,묵시|아포칼립스|대참사|종말|대파괴,,미암기,2012-12-11 03:19:10
apologist,əpάlədʒist,변호하는 사람|호교론자|변명자,,미암기,2012-12-11 03:19:10
apoplectic,ӕpəpléktik,중풍의|뇌졸중에 걸린 사람|뇌졸중의,,미암기,2012-12-11 03:19:10
apostasy,əpάstəsi,변절|탈당|배교,,미암기,2012-12-11 03:19:10
apostate,əpάsteit,변절자|배교자|탈당자,,미암기,2012-12-11 03:19:10
apothegm,ǽpəθèm,경구|격언,,미암기,2012-12-11 03:19:10
appall,əpɔ́ːl,…을 오싹하게 하다|질리게 하다|놀라게 하다,,미암기,2012-12-11 03:19:10
appeal,əpíːl,호소|매력|항소|마음에 들다|상고,,미암기,2012-12-11 03:19:10
appease,əpíːz,달래다|진정시키다|…을 가라앉히다,,미암기,2012-12-11 03:18:38
applause,əplɔ́ːz,박수|칭찬,,미암기,2012-12-11 03:18:38
apposite,ǽpəzit,적절한|적당한|딱 들어맞는,,미암기,2012-12-11 03:18:38
appreciate,əpríːʃièit,감사하다|고마워하다|오르다|이해하다|감상하다,,미암기,2012-12-11 03:18:38
appreciation,əprìːʃiéiʃən,이해|상승|감사|강세,,미암기,2012-12-11 03:18:38
approach,əpróuʧ,접근하다|방법|접근법|다가오다|도달하다,,미암기,2012-12-11 03:18:38
approbation,ӕprəbéiʃən,승인|시인|칭찬,,미암기,2012-12-11 03:18:38
appropriate,əpróupriət,적절한|적합한|적정한|적당한|사용하다,,미암기,2012-12-11 03:18:38
approximate,əprάksəmət｜-rɔ́k-,대강의|가까운|흉내내다,,미암기,2012-12-11 03:18:38
aqueduct,ǽkwədΛkt,송수로|수로교|수로,,미암기,2012-12-11 03:18:38
arbitrator,"άːrbətrèitər, -tris",중재인|조정자|중재 재정 위원,,미암기,2012-12-11 03:18:38
archaic,aːrkéiik,고풍의|원시적인|낡은,,미암기,2012-12-11 03:18:38
archetype,άːrkitàip,원형|전형|모범,,미암기,2012-12-11 03:18:38
archive,άːrkaiv,기록|아카이브|공문서|보관하다|저장된,,미암기,2012-12-11 03:18:38
arctic,άːrktik,북극의|극지방,,미암기,2012-12-11 03:18:38
ardent,άːrdnt,열렬한|열심인|불타는,,미암기,2012-12-11 03:18:38
arduous,άːrdʒuəs,힘드는|고된|분투적인,,미암기,2012-12-11 03:18:38
argot,"άːrgou, -gət",은어|변말|곁말,,미암기,2012-12-11 03:18:38
arid,ǽrid,불모의|건조한|무미 건조한,,미암기,2012-12-11 03:18:38
arouse,əráuz,불러일으키다|일어서다|분개하다|각성시키다|발생하다,,미암기,2012-12-11 03:18:38
arrange,əréindʒ,배치하다|준비하다|마련하다|정리하다|계획하다,,미암기,2012-12-11 03:18:38
arrhythmic,"əríðmik, -mikəl",불규칙한|부정맥의|주기적이 아닌,,미암기,2012-12-11 03:18:38
arrogance,ǽrəgəns,오만|거만|자만|만용|불손,,미암기,2012-12-11 03:18:38
artifact,άːrtəfӕkt,인공물|인공 유물|가공품,,미암기,2012-12-11 03:18:38
artless,άːrtlis,꾸밈없는|순진한|소박한,,미암기,2012-12-11 03:18:38
artlessness,άːrtlisnis,꾸밈없음|소박함|솜씨 없음,,미암기,2012-12-11 03:18:38
ascend,əsénd,오르다|상승하다|승진하다,,미암기,2012-12-11 03:18:38
ascetic,əsétik,금욕주의자|금욕적인|고행자,,미암기,2012-12-11 03:18:38
aseptic,"əséptik, eisép-",무균의|방부제|방부 처리의,,미암기,2012-12-11 03:18:38
aside,əsáid,이외에도|제외하고|별도로|제쳐두고|접어두고,,미암기,2012-12-11 03:18:38
askew,əskjúː,비스듬히|비뚤어진|비스듬한,,미암기,2012-12-11 03:18:38
asperity,əspérəti,거침|꺼칠꺼칠함|퉁명스러움,,미암기,2012-12-11 03:18:38
aspirant,"əspáiərənt, ǽspər-",큰 뜻을 품은 사람|지망자|열망자,,미암기,2012-12-11 03:18:38
assault,əsɔ́ːlt,폭행|공격|비난|습격,,미암기,2012-12-11 03:18:38
assert,əsə́ːrt,주장하다|단언하다|강력히 주장하다,,미암기,2012-12-11 03:18:38
assertive,əsə́ːrtiv,독단적인|자기 주장이 강한|자신감 넘치는,,미암기,2012-12-11 03:18:38
asset,ǽset,자산|재산|유산|이점,,미암기,2012-12-11 03:18:38
assiduity,ӕsidjúːəti,근면|진력|부지런함,,미암기,2012-12-11 03:18:38
associate,"əsóuʃièit, əsóusièit",관련시키다|연관|동료|부|어울리다,,미암기,2012-12-11 03:18:38
association,"əsòusiéiʃən, -ʃi-",협회|단체|연합|관련|조합,,미암기,2012-12-11 03:18:38
assuage,əswéidʒ,진정시키다|누그러뜨리다|달래다,,미암기,2012-12-11 03:18:38
astronomy,əstrάnəmi,천문학,,미암기,2012-12-11 03:18:38
atrocious,ətróuʃəs,극악한|흉악한|지독한,,미암기,2012-12-11 03:18:38
atrocity,ətrάsəti,잔학 행위|포악|큰 실수,,미암기,2012-12-11 03:18:38
attentive,əténtiv,주의 깊은|세심한|친절한,,미암기,2012-12-11 03:18:38
attenuate,əténjuèit,가늘어지다|약하게 하다|가늘게 하다,,미암기,2012-12-11 03:18:38
audacious,ɔːdéiʃəs,대담한|넉살좋은|무례한,,미암기,2012-12-11 03:18:38
audible,ɔ́ːdəbl,들리는|들을 수 있는|목소리가 알아들을 수 있는,,미암기,2012-12-11 03:18:38
augment,ɔːgmént,증강|증가시키다|강화|늘다,,미암기,2012-12-11 03:18:38
augur,ɔ́ːgər,복점관|점쟁이|…의 전조가 되다,,미암기,2012-12-11 03:18:38
auspicious,ɔːspíʃəs,길조의|상서로운|마침 좋은,,미암기,2012-12-11 03:18:38
austere,ɔːstíər,엄한|엄격한|검소한,,미암기,2012-12-11 03:18:38
authentic,ɔːθéntik,진정한|진짜의|실제의|믿을 만한,,미암기,2012-12-11 03:18:38
authenticity,ɔ̀ːθentísəti,확실성|신뢰성|출처가 분명함,,미암기,2012-12-11 03:18:38
authorize,ɔ́ːθəràiz,승인하다|허가하다|위임하다|공인된,,미암기,2012-12-11 03:18:38
avarice,ǽvəris,탐욕|강한 욕망|허욕,,미암기,2012-12-11 03:18:38
aversion,əvə́ːrʒən,혐오|반감|아주 싫은 것,,미암기,2012-12-11 03:18:38
avid,ǽvid,열렬한|열심인|몹시 탐내는,,미암기,2012-12-11 03:18:38
aware,əwέər,알고 있는|인식하는|깨달은|의식하는,,미암기,2012-12-11 03:18:38
awkward,ɔ́ːkwərd,어색한|거북한|서투른|곤란한|난처한,,미암기,2012-12-11 03:18:38
awl,ɔːl,송곳|absent with leave 휴가 중,,미암기,2012-12-11 03:18:38
awry,ərái,구부러져|비뚤어져|뒤틀어져,,미암기,2012-12-11 03:18:38
babble,bǽbl,중얼거림|헛소리|조잘거림|쓸데없는|서투른 말,,미암기,2012-12-11 03:17:57
badger,bǽdʒər,오소리|괴롭히다|행상인,,미암기,2012-12-11 03:17:57
baffle,bǽfl,좌절시키다|당황하게하다|방해하다,,미암기,2012-12-11 03:17:57
bait,beit,미끼|괴롭히다|유혹,,미암기,2012-12-11 03:17:57
bale,beil,짐짝|더미|짐짝으로 꾸리다,,미암기,2012-12-11 03:17:57
balk,bɔːk,장애|방해하다|방해,,미암기,2012-12-11 03:17:57
balky,bɔ́ːki,말을 안 듣는|고집 센|갑자기 서는,,미암기,2012-12-11 03:17:57
ballast,bǽləst,밸러스트|바닥짐|자갈,,미암기,2012-12-11 03:17:57
balm,baːm,진통제|향유|위안,,미암기,2012-12-11 03:17:57
balmy,bάːmi,향기로운|온화한|향유의,,미암기,2012-12-11 03:17:57
banality,bənǽləti,진부|진부한 말|평범,,미암기,2012-12-11 03:17:57
baneful,béinfəl,파멸시키는|유해한|유독한,,미암기,2012-12-11 03:17:57
banish,bǽniʃ,추방하다|떨쳐버리다,,미암기,2012-12-11 03:17:57
bankrupt,"bǽŋkrʌpt, -rəpt",파산한|부도|망한,,미암기,2012-12-11 03:17:57
barb,baːrb,가시|미늘|수염 모양의 것,,미암기,2012-12-11 03:17:57
barbarian,baːrbέəriən,야만인|오랑캐|바바리안|미개인,,미암기,2012-12-11 03:17:57
barbaric,baːrbǽrik,야만적인|미개의|야만의,,미암기,2012-12-11 03:17:57
barbarize,bάːrbəràiz,…을 야만화하다|야만스럽게 되다|불순하게 하다,,미암기,2012-12-11 03:17:57
bare,bεər,노출된|드러내다|극소량의|벌거벗은|단순한,,미암기,2012-12-11 03:17:57
barefaced,,뻔뻔스러운|수염이 없는|가면을 쓰지 않고 얼굴을 드러낸,,미암기,2012-12-11 03:17:57
bark,baːrk,나무 껍질|짖다|헛다리 짚다|고함을 치다|말만 그렇다,,미암기,2012-12-11 03:17:57
barrenness,bǽrənnis,불임|불모,,미암기,2012-12-11 03:17:57
base,beis,기반|기초|위치하다|…로 만든|기지,,미암기,2012-12-11 03:17:57
basset,bǽsit,노두|노출하다|바셋 개,,미암기,2012-12-11 03:17:57
bathetic,bəθétik,점강법의|평범한|진부한,,미암기,2012-12-11 03:17:57
beacon,bíːkən,봉화|수로 표지|표지를 설치하다,,미암기,2012-12-11 03:17:57
bedlam,bédləm,대소동|혼란|정신 병원,,미암기,2012-12-11 03:17:57
belabor,biléibər,세게 치다|오래도록 하다|때리다,,미암기,2012-12-11 03:17:57
beleaguer,bilíːgər,포위 하다|괴롭히다|공격하다,,미암기,2012-12-11 03:17:57
belie,bilái,어기다|…이 거짓임을 나타내다|…과 모순되다,,미암기,2012-12-11 03:17:57
belittle,bilítl,과소 평가하다|…을 작게 하다|얕보다,,미암기,2012-12-11 03:17:57
belligerent,bəlídʒərənt,호전적인|교전국|교전국의,,미암기,2012-12-11 03:17:57
beloved,"bilΛvid, -lΛvd",가장 사랑하는|소중한|애인,,미암기,2012-12-11 03:17:57
bendable,béndəbl,구부릴 수 있는|융통성 있는,,미암기,2012-12-11 03:17:57
beneficial,bènəfíʃəl,이로운|유익한|도움이 되는,,미암기,2012-12-11 03:17:57
benevolence,bənévələns,자비심|선행|선의,,미암기,2012-12-11 03:17:57
benevolent,bənévələnt,자선의|자비로운|자애로운,,미암기,2012-12-11 03:17:57
bequest,bikwést,유증|유산|유물,,미암기,2012-12-11 03:17:57
berate,biréit,호되게 꾸짖다|야단치다|몹시 꾸짖다,,미암기,2012-12-11 03:17:57
beseeching,bisíːʧiŋ,간청하는 듯한|간청하는,,미암기,2012-12-11 03:17:57
besmirch,bismə́ːrʧ,…을 더럽히다|먹칠을 하다|때묻히다,,미암기,2012-12-11 03:17:57
bias,báiəs,편견|치우침|편파적인|성향,,미암기,2012-12-11 03:17:57
bigot,bígət,편협한 사람|광신자|고집쟁이,,미암기,2012-12-11 03:17:57
blanch,blænʧ,희게 하다|살짝 데치다|…을 바래다,,미암기,2012-12-11 03:17:57
bland,blænd,지루한|부드러운|단조로운|풍미없는|개성없는,,미암기,2012-12-11 03:17:57
blandish,blǽndiʃ,달콤한 말로 구슬리다|알랑거리다|구슬려서 시키다,,미암기,2012-12-11 03:17:57
blandishment,blǽndiʃmənt,감언|아첨|부추김,,미암기,2012-12-11 03:17:57
blast,blæst,폭발|발사하다|공격하다|날리다|홈런을 치다,,미암기,2012-12-11 03:17:57
blatant,bléitənt,뻔뻔스러운|야한|시끄러운,,미암기,2012-12-11 03:17:57
blazon,bléizn,문장|기술하다|문장 기술,,미암기,2012-12-11 03:17:57
bleed,bliːd,출혈하다|피를 흘리다|번지다,,미암기,2012-12-11 03:17:57
blemish,blémiʃ,결점|손상하다|흠,,미암기,2012-12-11 03:17:57
blight,blait,마름병|말라죽게 하다|말라죽다,,미암기,2012-12-11 03:17:57
blotch,blaʧ,종기|…에 얼룩지게 하다|얼룩,,미암기,2012-12-11 03:17:57
blunt,blʌnt,솔직한|무딘|퉁명스런|둔화시키다,,미암기,2012-12-11 03:17:57
blurb,bləːrb,짧은 광고|…을 과대 광고하다|선전문,,미암기,2012-12-11 03:17:57
blurt,bləːrt,불쑥 말하기|부지중에 입밖에 내다|엉겁결에 말하기,,미암기,2012-12-11 03:17:57
blush,blʌʃ,얼굴이 붉어지다|부끄럼을 타다|블러셔,,미암기,2012-12-11 03:17:57
bluster,blΛstər,거세게 몰아치다|고함치다|거칠게 몰아침,,미암기,2012-12-11 03:17:57
boast,boust,자랑하다|가지고 있다|뽐내다|호언장담하다|내세우다,,미암기,2012-12-11 03:17:57
bode,boud,징조가 되다|조짐이다|…의 전조가 되다,,미암기,2012-12-11 03:17:57
boding,bóudiŋ,전조|전조의|나쁜 예감의,,미암기,2012-12-11 03:17:57
boisterous,bɔ́istərəs,떠들썩한|난폭하고 시끄러운|야단법석인,,미암기,2012-12-11 03:17:57
bold,bould,과감한|대담한|용감한|적극적|굵은,,미암기,2012-12-11 03:17:57
bolster,bóulstər,지지하다|보강하다|긴 베개,,미암기,2012-12-11 03:17:57
bombast,bάmbæst,호언장담|허풍|과장된 말,,미암기,2012-12-11 03:17:57
bondage,bάndidʒ,노예의 신분|속박|강제 노역,,미암기,2012-12-11 03:17:57
bonhomie,bὰnəmíː,사근사근한 친절|솔직하고 상냥한 태도|온화한 얼굴,,미암기,2012-12-11 03:17:57
boor,buər,촌스런 남자|시골뜨기|버릇없는 사람,,미암기,2012-12-11 03:17:57
bootless,búːtlis,무익한|보람없는,,미암기,2012-12-11 03:17:57
brag,bræg,자랑하다|자랑|허풍,,미암기,2012-12-11 03:17:57
braggadocio,brӕgədóuʃiòu,허풍|허풍선이|제 자랑,,미암기,2012-12-11 03:17:57
braggart,brǽgərt,허풍선이|허풍을 치는|허풍선이의,,미암기,2012-12-11 03:17:57
brake,breik,브레이크|제동|억제,,미암기,2012-12-11 03:17:57
brash,bræʃ,속쓰림|파편|성급한,,미암기,2012-12-11 03:17:57
brat,bræt,작업복|앞치마|새끼,,미암기,2012-12-11 03:17:57
brattish,,버릇없는 애새끼 같은,,미암기,2012-12-11 03:17:57
brazen,bréizn,놋쇠로 만든|뻔뻔스러운|놋쇠 빛깔의,,미암기,2012-12-11 03:17:57
brazenness,bréiznnis,철면피 같음|뻔뻔함,,미암기,2012-12-11 03:17:57
breach,briːʧ,위반|침해|어기다|무너지다|누출,,미암기,2012-12-11 03:17:57
brevity,brévəti,짧음|간결함|간결성,,미암기,2012-12-11 03:17:57
bribe,braib,뇌물을 주다|금품을 제공하다|매수하다,,미암기,2012-12-11 03:17:57
bristle,brísl,곤두서다|곤두세우다|거센 털,,미암기,2012-12-11 03:17:57
bromide,bróumaid,브롬화물|브롬화칼륨|진부한 이야기,,미암기,2012-12-11 03:17:57
browbeat,brauˈbiˌt,위협하다|공갈하다|…을 을러대다,,미암기,2012-12-11 03:17:56
